"","TO_6_1_Plastic","TO_6_2_Knife","TO_6_2_Phone","TO_6_2_Plastic","TO_9_0_Hands","TO_7_1_Glass","TO_10_1_Ceramic","TO_8_1_Glass","TO_8_1_Phone","TO_8_2_Plastic","TO_9_1_Ceramic","TO_9_1_Knife","TO_9_2_Knife","TO_10_1_Plastic","TO_10_2_Glass","TO_10_0_Hands","TO_10_2_Knife","TO_1_1_Ceramic","TO_1_1_Glass","TO_1_1_Knife","TO_1_0_Hands","TO_1_1_Phone","TO_1_1_Plastic","TO_1_2_Ceramic","TO_1_2_Knife","TO_1_2_Plastic","TO_2_1_Ceramic","TO_2_0_Hands","TO_2_1_Glass","TO_2_1_Knife","TO_2_1_Phone","TO_2_1_Plastic","TO_2_2_Ceramic","TO_2_2_Knife","TO_2_2_Phone","TO_3_0_Hands","TO_2_2_Plastic","TO_3_1_Ceramic","TO_3_1_Glass","TO_3_1_Phone","TO_3_1_Plastic","TO_3_2_Ceramic","TO_3_2_Glass","TO_4_0_Hands","TO_3_2_Knife","TO_3_2_Phone","TO_3_2_Plastic","TO_4_1_Ceramic","TO_5_0_Hands","TO_6_0_Hands","TO_6_1_Ceramic","TO_6_1_Phone","TO_8_0_Hands"
"Ostreococcus lucimarinus virus 2_TAXID_No_1663208",28.6287366786385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433.09323154878,17.0523241666336,4187.30806189956,52.1424218093517,1264.33356426316,0,0,4832.85660014155,7470.7669299007,53063.438363903,1740.22583911896,0,157.406199700918,267.605865272896,67.2773442564231,256365.343004793,15103.3236606159,0,0,751135.915852276,0,43423.2774128875,0,0,0,0,0,49.6089215359219,0,0,0,0,0,0,7967.26061805234,0
"Staphylococcus phage SPbeta-like_TAXID_No_1732063",0,0,0,0,58449.117426983,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6965806769987,0,0,0,0,0,0,0,0,1125.77411449474,0,5636.84735008658,0,0,65864.736788974,461739.715349789,0,1069.7445703943,1285.42136132946,0,12534.6879992125,6204.92550856676,0,0,0,0,7.96587430912824,35.4618727323114,0,0,0,0,0,0,16148.6901787668
"BeAn 58058 virus_TAXID_No_67082",0,336681.462601169,3090.67690507195,277522.592510127,0,220621.794720752,6272.10272106729,0,0,116056.914383723,540465.7665025,989286.909167137,40034.5648255996,0,53.8860169216533,0,2570.72181949105,0,0,0,23912.1748428468,0,28182.0279223701,209925.437822034,0,0,0,10519.7185653048,45219.3479926721,1212.64411342285,0,313.397006270253,0,48.1806948200093,7383.94107856299,26029.9725800105,3412.39611288697,0,57236.4796095021,15.9087864857003,0,615930.516856437,0,27.1264600800896,534964.521955744,233.483899443715,4554.39668189723,1e+06,0,4106.45438031677,0,0,380.354888007099
"Caudoviricetes sp._TAXID_No_2832643",1530.11751060644,0,0,0,67495.0185154641,0,0,9317.99719594347,0,0,0,0,0,189.881795897031,0,21604.1820814391,16379.8478323209,0,5152.91028663478,128496.071593654,856.289517210938,387909.39580132,174.833651257186,35252.0166683866,0,0,0,114413.418473812,0,72.5352793340589,0,0,0,8.75443880994721,0,69380.95927461,0,115.753150995066,0,0,0,7871.93749601537,0,42704.8570979398,0,0,0,0,258118.35833701,783.880226746829,804716.362255291,0,137.056944431357
"Deltapolyomavirus sextihominis_TAXID_No_746830",0,0,0,0,0,0,0,0,62867.2150411281,0,0,0,0,0,0,133245.883952571,0,0,14918.0796967039,0,2565.79418444393,0,0,0,0,0,0,560788.78665001,0,102570.737444154,0,0,277608.916184729,412133.857739208,0,4739.08347314463,693.82730954131,5172.47839945215,845306.018320291,989096.386611176,995204.748647886,0,364147.494484715,47.5242865075007,136783.881712328,999606.15181312,38764.788126225,0,0,0,0,0,0
