"","superkingdom","clade","kingdom","phylum","class","order","family","subfamily","genus","species","taxID","length","unique_id"
"Ostreococcus lucimarinus virus 2_TAXID_No_1663208","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily_of_Phycodnaviridae","Prasinovirus","Ostreococcus lucimarinus virus 2","1663208",NA,"Ostreococcus lucimarinus virus 2_TAXID_No_1663208"
"Staphylococcus phage SPbeta-like_TAXID_No_1732063","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Staphylococcus phage SPbeta-like","1732063",NA,"Staphylococcus phage SPbeta-like_TAXID_No_1732063"
"BeAn 58058 virus_TAXID_No_67082","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082",NA,"BeAn 58058 virus_TAXID_No_67082"
"Caudoviricetes sp._TAXID_No_2832643","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Caudoviricetes sp.","2832643",NA,"Caudoviricetes sp._TAXID_No_2832643"
"Deltapolyomavirus sextihominis_TAXID_No_746830","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily_of_Polyomaviridae","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830",NA,"Deltapolyomavirus sextihominis_TAXID_No_746830"
